Index	Label
0	6
1	3
2	5
3	6
4	4
5	1
6	0
7	8
8	8
9	7
10	3
11	1
12	5
13	8
14	9
15	6
16	6
17	7
18	0
19	8
20	2
21	1
22	0
23	7
24	3
25	2
26	7
27	6
28	3
29	2
30	7
31	1
32	6
33	1
34	5
35	0
36	7
37	6
38	8
39	2
40	4
41	9
42	1
43	6
44	3
45	4
46	5
47	3
48	0
49	8
50	5
51	0
52	1
53	4
54	2
55	6
56	6
57	2
58	0
59	0
60	6
61	8
62	5
63	6
64	8
65	2
66	9
67	5
68	4
69	8
70	3
71	3
72	9
73	5
74	1
75	3
76	6
77	5
78	8
79	8
80	5
81	6
82	3
83	3
84	8
85	0
86	9
87	4
88	0
89	7
90	7
91	4
92	9
93	1
94	3
95	6
96	7
97	5
98	2
99	2
100	8
101	0
102	2
103	0
104	8
105	6
106	8
107	9
108	8
109	1
110	1
111	8
112	7
113	9
114	5
115	0
116	0
117	6
118	1
119	7
120	3
121	1
122	0
123	6
124	8
125	4
126	8
127	5
128	2
129	4
130	9
131	4
132	0
133	7
134	2
135	8
136	1
137	8
138	7
139	8
140	3
141	3
142	6
143	2
144	3
145	8
146	0
147	6
148	1
149	9
150	5
151	1
152	6
153	5
154	0
155	9
156	0
157	5
158	1
159	6
160	1
161	8
162	2
163	1
164	1
165	0
166	2
167	2
168	7
169	2
170	9
171	6
172	1
173	2
174	0
175	7
176	7
177	8
178	4
179	0
180	3
181	7
182	4
183	0
184	2
185	8
186	4
187	7
188	7
189	0
190	2
191	0
192	2
193	7
194	5
195	4
196	5
197	9
198	3
199	1
200	6
201	2
202	9
203	3
204	4
205	7
206	9
207	5
208	8
209	3
210	7
211	6
212	7
213	1
214	6
215	6
216	7
217	8
218	3
219	9
220	5
221	8
222	2
223	8
224	3
225	8
226	1
227	7
228	7
229	9
230	9
231	0
232	3
233	9
234	6
235	0
236	7
237	6
238	0
239	2
240	0
241	9
242	5
243	6
244	5
245	8
246	4
247	4
248	5
249	3
250	5
251	6
252	2
253	7
254	1
255	1
256	2
257	2
258	2
259	1
260	4
261	1
262	4
263	3
264	2
265	1
266	9
267	2
268	6
269	0
270	7
271	8
272	8
273	0
274	1
275	5
276	9
277	7
278	2
279	1
280	9
281	5
282	4
283	8
284	3
285	0
286	6
287	0
288	0
289	2
290	8
291	3
292	8
293	2
294	5
295	6
296	2
297	9
298	9
299	2
300	0
301	7
302	3
303	1
304	7
305	9
306	2
307	1
308	4
309	4
310	3
311	4
312	6
313	1
314	2
315	2
316	0
317	7
318	4
319	1
320	8
321	8
322	2
323	1
324	5
325	6
326	0
327	4
328	3
329	8
330	7
331	2
332	5
333	5
334	4
335	3
336	5
337	0
338	3
339	3
340	9
341	5
342	8
343	3
344	4
345	9
346	0
347	8
348	2
349	9
350	9
351	6
352	9
353	8
354	2
355	8
356	9
357	8
358	8
359	7
360	1
361	3
362	8
363	2
364	3
365	8
366	0
367	2
368	3
369	2
370	1
371	7
372	5
373	7
374	5
375	0
376	3
377	1
378	5
379	1
380	2
381	0
382	1
383	3
384	1
385	0
386	3
387	1
388	7
389	9
390	5
391	2
392	0
393	9
394	6
395	6
396	4
397	7
398	0
399	9
400	9
401	5
402	0
403	9
404	6
405	1
406	4
407	4
408	1
409	6
410	9
411	6
412	4
413	0
414	8
415	1
416	7
417	2
418	3
419	3
420	5
421	0
422	0
423	1
424	0
425	4
426	8
427	0
428	7
429	0
430	5
431	3
432	4
433	1
434	2
435	2
436	3
437	2
438	3
439	7
440	2
441	2
442	1
443	4
444	6
445	7
446	0
447	5
448	6
449	7
450	3
451	4
452	6
453	3
454	4
455	0
456	9
457	2
458	2
459	2
460	2
461	2
462	0
463	3
464	4
465	5
466	0
467	5
468	5
469	3
470	9
471	1
472	3
473	4
474	6
475	0
476	2
477	1
478	4
479	6
480	7
481	1
482	4
483	4
484	5
485	8
486	3
487	0
488	5
489	1
490	7
491	8
492	1
493	5
494	2
495	0
496	5
497	5
498	1
499	6
